time,x,y
18.12,0.57,0.67
18.12,0.57,0.67
24.72,0.64,0.46
30.52,0.58,0.27
347.44,0.75,0.38
347.44,0.75,0.38
553.76,0.81,0.53
553.76,0.81,0.53
555.44,0.89,0.48
592.6,0.92,0.37
593.36,0.91,0.35
618.48,0.79,0.71
618.92,0.8,0.71
861.96,0.53,0.43
863.2,0.53,0.47
869.84,0.58,0.62
872.44,0.56,0.6
912.56,0.69,0.62
912.56,0.69,0.62
935.52,0.54,0.58
940.0,0.52,0.5
967.44,0.49,0.54
967.44,0.49,0.54
1295.88,0.76,0.53
1297.36,0.74,0.47
1306.28,0.6,0.4
1309.56,0.57,0.46
1370.64,0.7,0.54
1371.92,0.68,0.48
1479.84,0.65,0.66
1481.08,0.64,0.63
1529.36,0.68,0.39
1529.36,0.68,0.39
1529.36,0.68,0.39
1708.72,0.7,0.67
1708.72,0.7,0.67
1732.56,0.71,0.79
1840.04,0.92,0.9
1840.04,0.92,0.9
1914.16,0.54,0.41
1915.16,0.54,0.43
1920.92,0.59,0.57
1922.44,0.64,0.5
2207.48,0.93,0.55
2207.48,0.93,0.55
2207.48,0.93,0.55
2304.96,0.95,0.69
2304.96,0.95,0.69
2681.2,0.82,0.7
2683.96,0.82,0.63
2756.8,0.62,0.82
2757.84,0.66,0.84
2760.28,0.67,0.88
2907.92,0.32,0.17
2909.2,0.28,0.12
2912.8,0.3,0.2
2969.16,0.44,0.34
2970.36,0.43,0.35
2989.16,0.33,0.41
2989.96,0.33,0.41
3150.8,0.41,0.39
3151.88,0.41,0.41
3170.28,0.41,0.44
3172.2,0.41,0.47
3217.32,0.12,0.42
3217.32,0.12,0.42
3320.0,0.18,0.52
3320.0,0.18,0.52
3350.72,0.46,0.46
3352.92,0.51,0.48
3441.2,0.4,0.29
3441.2,0.4,0.29
3593.28,0.08,0.45
3593.28,0.08,0.45
3746.88,0.34,0.55
3746.88,0.34,0.55
3746.88,0.34,0.55
3777.36,0.5,0.51
3780.08,0.56,0.42
3826.88,0.17,0.79
3830.88,0.26,0.65
4036.76,0.43,0.44
4038.6,0.44,0.5
4047.72,0.42,0.67
4049.12,0.38,0.7
4118.12,0.13,0.46
4118.12,0.13,0.46
4121.0,0.06,0.4
4121.0,0.06,0.4
4227.0,0.39,0.28
4229.44,0.43,0.36
4308.32,0.15,0.13
4308.32,0.15,0.13
4310.08,0.11,0.19
4312.08,0.12,0.24
4312.2,0.13,0.24
4543.52,0.34,0.4
4545.24,0.35,0.36
4801.08,0.32,0.49
4802.92,0.36,0.39
4956.8,0.36,0.37
4960.2,0.15,0.25
4974.24,0.26,0.52
4975.84,0.27,0.51
5169.4,0.28,0.57
5196.44,0.53,0.67
5196.64,0.53,0.68
5329.68,0.31,0.61
5705.92,0.32,0.64
5706.6,0.32,0.63
5720.52,0.47,0.37
5725.2,0.5,0.37
5744.68,0.05,0.62
5744.88,0.05,0.63
