time,x,y
21.44,0.53,0.59
21.44,0.53,0.59
91.56,0.92,0.47
91.56,0.92,0.47
552.56,0.73,0.56
553.72,0.8,0.52
553.72,0.8,0.52
584.28,0.96,0.1
584.28,0.96,0.1
615.16,0.6,0.88
616.76,0.64,0.88
821.12,0.43,0.51
822.08,0.4,0.53
906.44,0.54,0.9
906.6,0.54,0.91
906.6,0.54,0.91
954.4,0.32,0.49
954.4,0.32,0.49
1163.84,0.27,0.6
1163.84,0.27,0.6
1240.68,0.65,0.49
1241.48,0.67,0.45
1529.28,0.67,0.4
1533.64,0.62,0.37
1534.92,0.63,0.33
1732.28,0.71,0.77
1783.56,0.76,0.05
1784.6,0.75,0.05
1836.16,0.75,0.86
1836.16,0.75,0.86
1836.16,0.75,0.86
1860.44,0.86,0.91
1860.44,0.86,0.91
1919.24,0.48,0.73
2044.68,0.5,0.86
2045.52,0.5,0.82
2048.96,0.56,0.88
2048.96,0.56,0.88
2615.88,0.76,0.36
2616.32,0.76,0.38
2618.12,0.77,0.36
2669.88,0.61,0.92
2669.88,0.61,0.92
2669.88,0.61,0.92
2700.08,0.98,0.6
2700.08,0.98,0.6
2757.8,0.67,0.85
2885.4,0.49,0.5
2909.36,0.28,0.12
3380.36,0.53,0.76
3380.36,0.53,0.76
3746.8,0.35,0.55
3857.8,0.61,0.29
3925.56,0.37,0.61
3961.28,0.02,0.54
3961.28,0.02,0.54
4207.08,0.34,0.82
4208.08,0.36,0.87
4667.44,0.6,0.65
4673.28,0.51,0.77
4722.12,0.42,0.65
4723.36,0.42,0.63
4882.52,0.42,0.63
4910.16,0.36,0.15
4912.96,0.31,0.19
4949.32,0.56,0.39
4952.2,0.63,0.33
5027.08,0.36,0.11
5027.2,0.36,0.11
5031.76,0.47,0.05
5031.76,0.47,0.05
5033.2,0.48,0.08
5227.0,0.26,0.84
5230.52,0.14,0.81
5315.24,0.32,0.69
5432.88,0.28,0.82
5438.28,0.16,0.56
5487.96,0.55,0.7
5488.44,0.56,0.7
5488.44,0.56,0.7
