time,x,y
220.8,0.3,0.43
220.8,0.3,0.43
285.92,0.03,0.03
287.96,0.1,0.01
582.96,0.86,-0.02
585.48,0.83,0.01
585.48,0.83,0.01
625.84,0.46,0.34
625.84,0.46,0.34
652.12,0.41,0.22
653.28,0.44,0.22
805.84,0.39,0.0
815.2,0.22,0.1
818.84,0.28,0.03
962.88,0.18,0.37
962.88,0.18,0.37
999.2,0.26,-0.01
1093.16,0.45,0.18
1093.16,0.45,0.18
1093.16,0.45,0.18
1243.04,0.68,0.19
1246.4,0.81,0.28
1394.52,0.16,0.22
1399.2,0.27,0.04
1461.4,0.46,0.01
1495.44,0.13,0.19
1780.16,0.63,0.21
1782.96,0.69,0.22
1785.4,0.67,0.16
1786.6,0.64,0.13
1931.28,0.33,0.05
1931.28,0.33,0.05
2086.8,0.59,0.12
2091.72,0.71,0.15
2132.04,0.67,0.16
2132.88,0.7,0.18
2196.72,0.7,0.08
2197.36,0.7,0.09
2372.36,0.34,0.03
2373.16,0.34,0.03
2389.12,0.32,0.13
2390.92,0.35,0.1
2398.2,0.55,0.06
2400.0,0.58,0.07
2572.96,0.28,0.15
2572.96,0.28,0.15
2599.08,0.2,0.19
2602.12,0.17,0.14
2603.48,0.19,0.15
2609.84,0.5,0.05
2614.96,0.69,0.22
2618.92,0.87,0.19
2620.2,0.9,0.2
2688.56,0.38,0.11
2695.64,0.79,0.19
2715.32,0.48,0.02
2715.32,0.48,0.02
2745.6,0.33,0.11
2746.64,0.34,0.09
3028.68,0.51,0.78
3030.4,0.45,0.82
3118.76,0.75,0.92
3119.84,0.75,0.93
3187.08,0.84,1.01
3188.96,0.85,0.98
3188.96,0.85,0.98
3240.2,0.28,1.0
3244.88,0.2,0.77
3377.64,0.73,0.88
3379.28,0.7,0.89
3707.04,0.55,0.92
3707.04,0.55,0.92
3708.36,0.54,0.95
3708.36,0.54,0.95
3708.36,0.54,0.95
3933.96,0.57,0.88
3936.28,0.46,0.88
3958.32,0.18,0.78
3958.32,0.18,0.78
4149.84,0.42,0.98
4151.04,0.41,0.99
4200.52,0.55,0.89
4204.12,0.44,0.85
4211.28,0.54,0.95
4213.4,0.52,0.92
4564.36,0.95,0.77
4564.36,0.95,0.77
4564.52,0.96,0.76
4680.28,0.67,0.88
4681.2,0.68,0.88
4702.8,0.74,0.83
4705.32,0.71,0.83
4708.96,0.71,0.89
4710.16,0.72,0.89
4735.88,0.39,0.78
4737.44,0.38,0.8
4745.64,0.51,0.93
4747.04,0.51,0.94
4896.64,0.52,0.91
4898.96,0.51,0.94
4925.92,0.38,0.89
4927.24,0.38,0.95
4931.36,0.37,1.0
4936.36,0.38,1.0
4936.56,0.38,1.0
4937.68,0.41,1.0
4937.84,0.42,1.0
5074.68,0.66,0.79
5076.6,0.61,0.86
5118.16,0.89,0.75
5118.36,0.89,0.77
5245.68,0.39,0.97
5247.64,0.4,0.96
5282.8,0.68,0.94
5287.52,0.57,0.76
5743.72,0.14,0.69
5743.92,0.13,0.69
