time,x,y
175.44,0.49,1.01
180.64,0.5,0.87
184.8,0.37,0.97
208.08,0.32,0.89
208.08,0.32,0.89
210.52,0.29,0.85
212.64,0.26,0.96
225.08,0.14,0.6
225.08,0.14,0.6
225.08,0.14,0.6
481.32,0.04,0.62
481.32,0.04,0.62
545.64,0.42,0.84
546.88,0.41,0.85
610.76,0.41,0.91
611.92,0.44,0.98
638.92,0.43,0.91
641.8,0.52,0.91
643.76,0.53,0.9
643.76,0.53,0.9
824.88,0.36,0.91
824.88,0.36,0.91
1023.12,0.48,0.94
1023.8,0.5,0.94
1028.16,0.73,0.95
1109.84,0.15,0.79
1111.12,0.17,0.8
1235.88,0.6,0.8
1237.32,0.6,0.74
1351.0,0.49,0.92
1352.92,0.57,0.98
1467.64,0.35,0.76
1467.64,0.35,0.76
1538.28,0.55,0.75
1538.44,0.55,0.75
1539.12,0.56,0.76
