time,x,y
4885.32,0.48,0.43
4885.92,0.47,0.42
4907.24,0.39,0.02
4909.08,0.42,0.06
4914.68,0.27,0.39
4916.92,0.25,0.49
4953.28,0.54,0.27
4955.16,0.56,0.38
5110.84,0.64,0.32
5131.28,0.2,0.42
5134.76,0.21,0.55
5134.76,0.21,0.55
5135.08,0.22,0.55
5217.72,0.77,0.26
5220.4,0.68,0.28
5256.96,0.31,0.06
5257.16,0.31,0.06
5305.08,0.19,0.13
5309.72,0.21,0.28
5423.8,0.8,0.38
5429.08,0.5,0.3
5463.92,0.7,0.51
5465.08,0.7,0.51
5471.12,0.63,0.45
5471.56,0.63,0.44
5547.0,0.49,0.17
5547.36,0.5,0.17
5594.08,0.56,0.15
5594.28,0.57,0.16
5635.72,0.56,0.41
5656.16,0.87,0.11
5729.6,0.74,0.22
5730.48,0.75,0.22
