time,x,y
0.68,0.58,0.21
1.8,0.55,0.19
54.96,0.87,0.29
54.96,0.87,0.29
295.48,0.38,0.08
296.16,0.38,0.08
343.04,0.62,0.36
343.04,0.62,0.36
343.04,0.62,0.36
346.0,0.66,0.35
346.0,0.66,0.35
426.12,0.91,0.47
426.12,0.91,0.47
430.44,0.86,0.47
430.44,0.86,0.47
550.64,0.64,0.55
550.64,0.64,0.55
658.84,0.8,0.13
658.84,0.8,0.13
807.28,0.51,0.12
807.28,0.51,0.12
807.28,0.51,0.12
838.4,0.62,0.29
842.52,0.5,0.23
921.76,0.56,0.17
922.44,0.55,0.18
941.16,0.5,0.29
943.12,0.47,0.25
1217.68,0.67,0.21
1217.68,0.67,0.21
1298.68,0.65,0.24
1304.76,0.5,0.2
1373.52,0.64,0.2
1375.88,0.61,0.22
1453.4,0.58,0.26
1453.4,0.58,0.26
1453.4,0.58,0.26
1456.56,0.6,0.12
1456.56,0.6,0.12
1456.56,0.6,0.12
1483.28,0.6,0.27
1485.08,0.55,0.21
1890.08,0.66,0.31
1893.48,0.53,0.25
1911.32,0.42,0.15
1912.04,0.41,0.15
1923.64,0.64,0.24
1925.48,0.67,0.21
2185.72,0.59,0.26
2272.4,0.93,0.26
2272.4,0.93,0.26
2272.4,0.93,0.26
2564.2,0.49,0.12
2568.2,0.48,0.12
2616.56,0.78,0.39
2783.52,0.64,0.35
2785.56,0.59,0.42
2917.92,0.33,0.8
2921.6,0.51,0.83
2997.0,0.44,0.97
2998.36,0.48,1.0
3153.48,0.45,0.8
3158.0,0.53,0.8
3191.24,0.61,0.76
3191.24,0.61,0.76
3191.24,0.61,0.76
3263.0,0.11,0.45
3263.0,0.11,0.45
3316.32,0.18,0.82
3318.2,0.19,0.79
3321.64,0.22,0.8
3321.64,0.22,0.8
3676.32,0.37,0.84
3676.32,0.37,0.84
3682.92,0.12,0.78
3823.88,0.16,0.97
3823.88,0.16,0.97
3925.6,0.37,0.62
3925.6,0.37,0.62
3925.6,0.37,0.62
4040.08,0.45,0.79
4043.92,0.56,0.8
4156.68,0.16,0.71
4156.68,0.16,0.71
4311.08,0.08,0.33
4311.48,0.07,0.32
4541.64,0.36,0.57
4542.72,0.35,0.59
4635.68,0.34,0.73
4636.84,0.32,0.72
4729.52,0.15,0.65
4729.68,0.15,0.65
4790.72,0.1,0.83
4792.4,0.12,0.82
4882.52,0.43,0.63
4882.52,0.43,0.63
4882.68,0.44,0.63
4967.88,0.31,0.51
4968.76,0.32,0.53
5177.68,0.36,0.84
5183.72,0.4,0.85
5262.28,0.2,0.57
5262.48,0.2,0.57
5404.2,0.36,0.79
5405.0,0.37,0.79
5408.52,0.39,0.94
5408.68,0.39,0.95
5489.4,0.55,0.71
