time,x,y
22.24,0.5,0.65
22.88,0.5,0.65
47.08,0.41,0.74
49.04,0.46,0.68
87.36,0.9,0.09
90.52,0.89,0.14
177.8,0.55,0.84
177.8,0.55,0.84
232.36,0.6,0.09
236.92,0.84,0.27
343.24,0.6,0.37
343.24,0.6,0.37
377.68,0.55,0.13
383.96,0.87,0.29
416.72,0.94,0.09
418.12,0.94,0.09
654.36,0.53,0.27
655.32,0.56,0.24
1001.24,0.34,0.1
1003.48,0.36,0.26
1003.48,0.36,0.26
1063.6,0.86,0.66
1063.6,0.86,0.66
1225.12,0.62,0.75
1226.2,0.65,0.77
1230.12,0.7,0.72
1232.28,0.76,0.66
1232.28,0.76,0.66
1269.72,0.66,0.65
1269.72,0.66,0.65
1276.0,0.72,0.96
1468.72,0.45,0.68
1468.72,0.45,0.68
1699.8,0.56,0.97
1699.8,0.56,0.97
1725.28,0.71,0.96
1725.28,0.71,0.96
1737.56,0.59,0.93
1805.28,0.44,0.91
1805.28,0.44,0.91
1805.28,0.44,0.91
2140.96,0.75,0.68
2142.04,0.78,0.7
2188.8,0.76,0.19
2193.56,0.87,0.03
2258.56,0.69,0.4
2259.76,0.69,0.4
2267.16,0.73,0.12
2269.36,0.75,0.19
2271.52,0.87,0.24
2272.16,0.92,0.24
2272.16,0.92,0.24
2396.08,0.54,0.27
2396.92,0.55,0.26
2510.12,0.69,0.45
2511.68,0.71,0.52
2577.48,0.46,0.57
2579.48,0.5,0.74
2625.4,0.95,0.88
2627.52,0.88,0.87
2764.76,0.58,0.44
2769.0,0.79,0.35
3049.48,0.3,0.2
3049.48,0.3,0.2
3207.84,0.49,0.29
3208.8,0.45,0.31
3213.64,0.25,0.56
3224.04,0.21,0.06
3225.24,0.21,0.06
3258.36,0.32,0.29
3258.36,0.32,0.29
3262.04,0.15,0.14
3262.04,0.15,0.14
3436.32,0.45,0.07
3436.32,0.45,0.07
3551.68,0.49,0.5
3596.0,0.18,0.34
3598.2,0.17,0.32
3600.2,0.08,0.31
3600.2,0.08,0.31
3749.88,0.35,0.44
3751.0,0.34,0.45
4114.32,0.34,0.12
4116.6,0.19,0.08
4130.48,0.26,0.07
4130.48,0.26,0.07
4130.48,0.26,0.07
4142.0,0.28,0.13
4163.48,0.35,0.59
4197.04,0.48,0.43
4198.04,0.48,0.45
4354.92,0.54,0.22
4360.4,0.27,0.45
4394.0,0.68,0.67
4395.44,0.68,0.63
4643.36,0.37,0.67
4644.12,0.36,0.66
4652.04,0.34,0.19
4656.04,0.28,0.39
4754.44,0.17,0.26
4756.44,0.08,0.31
