time,x,y
8.68,0.32,0.98
11.16,0.39,0.96
35.24,0.44,0.92
39.04,0.36,0.96
154.16,0.52,0.98
155.28,0.55,0.95
202.28,0.58,1.01
277.84,0.46,0.78
279.48,0.38,0.84
428.36,0.84,0.51
468.04,0.57,0.97
469.08,0.58,0.94
612.0,0.46,0.98
612.0,0.46,0.98
750.16,0.6,0.99
751.72,0.61,0.96
828.64,0.64,0.87
833.36,0.59,0.82
874.8,0.28,0.97
875.44,0.25,0.97
906.4,0.55,0.91
906.4,0.55,0.91
906.4,0.55,0.91
907.08,0.54,0.94
907.24,0.54,0.94
1028.2,0.73,0.94
1028.2,0.73,0.94
1098.24,0.36,0.89
1101.36,0.31,0.92
1152.44,0.25,0.98
1154.32,0.26,0.95
1157.72,0.26,0.95
1158.24,0.26,0.94
1348.92,0.57,0.86
1348.92,0.57,0.86
1366.44,0.48,1.01
1378.64,0.35,0.97
1380.6,0.32,0.97
1421.56,0.28,0.97
1423.68,0.31,0.92
1475.2,0.49,1.01
1538.28,0.59,0.75
1538.28,0.59,0.75
1734.16,0.64,0.92
1738.2,0.57,0.94
1738.76,0.55,0.96
1794.52,0.41,0.96
1794.52,0.41,0.96
1807.36,0.38,0.94
1885.84,0.6,1.01
1959.28,0.93,0.85
2151.04,0.89,0.7
2151.04,0.89,0.7
2210.32,0.82,0.94
2213.28,0.8,0.95
2442.76,0.45,0.9
2443.96,0.42,0.92
2580.92,0.68,0.64
2582.68,0.78,0.76
2627.68,0.89,0.84
2628.88,0.87,0.82
2670.0,0.62,0.93
2676.04,0.64,1.01
2894.32,0.62,0.03
2894.32,0.62,0.03
2899.32,0.75,0.02
2901.64,0.7,0.06
2934.56,0.79,0.04
2936.04,0.84,0.02
2946.8,0.86,-0.01
2965.2,0.71,-0.01
2981.8,0.62,0.02
2982.92,0.6,0.02
3146.96,0.56,0.12
3149.28,0.56,0.15
3161.48,0.61,0.1
3164.04,0.55,0.13
3340.4,0.72,0.06
3343.0,0.71,0.15
3443.64,0.54,0.13
3443.64,0.54,0.13
3460.92,0.75,0.05
3465.24,0.75,0.11
3784.92,0.77,0.05
3790.08,0.77,0.13
3836.16,0.63,0.08
3837.6,0.7,0.11
3854.36,0.67,-0.02
4033.32,0.61,0.06
4033.88,0.61,0.05
4058.16,0.56,0.07
4059.6,0.57,0.06
4124.6,0.09,0.2
4126.76,0.11,0.12
4221.8,0.69,0.08
4225.8,0.53,0.18
4225.8,0.53,0.18
