time,x,y
32.16,0.57,0.47
33.36,0.53,0.53
152.2,0.58,0.73
153.16,0.57,0.76
216.48,0.54,0.85
217.24,0.55,0.83
275.44,0.54,0.37
276.2,0.52,0.41
470.52,0.54,0.73
471.52,0.53,0.71
775.2,0.44,0.48
775.2,0.44,0.48
784.64,0.37,0.26
784.64,0.37,0.26
834.0,0.61,0.73
836.16,0.61,0.68
855.44,0.37,0.38
856.52,0.35,0.36
926.96,0.52,0.63
927.72,0.51,0.64
933.76,0.48,0.79
933.76,0.48,0.79
1002.96,0.36,0.19
1269.32,0.65,0.67
1269.52,0.64,0.67
1353.84,0.62,0.86
1354.52,0.61,0.87
1404.08,0.44,0.32
1407.52,0.35,0.28
1489.4,0.38,0.25
1492.12,0.27,0.24
1494.04,0.19,0.23
1495.28,0.16,0.22
1495.28,0.16,0.22
1805.28,0.45,0.9
1927.0,0.58,0.34
1928.0,0.59,0.29
2046.64,0.51,0.76
2049.0,0.57,0.87
2049.0,0.57,0.87
2049.0,0.57,0.87
2438.12,0.52,0.27
2438.84,0.52,0.28
2548.72,0.57,0.35
2649.8,0.54,0.73
2649.8,0.54,0.73
2677.52,0.6,0.82
2678.32,0.61,0.8
2685.16,0.61,0.59
2686.36,0.59,0.53
2727.08,0.57,0.56
2728.0,0.57,0.6
2760.88,0.59,0.72
2761.2,0.59,0.72
2889.48,0.38,0.19
2891.16,0.43,0.25
2949.72,0.66,0.13
2950.8,0.64,0.16
2966.72,0.54,0.07
2967.96,0.52,0.1
2972.36,0.46,0.15
2974.92,0.49,0.16
2984.12,0.47,0.14
2985.52,0.43,0.18
3052.04,0.08,0.15
3052.04,0.08,0.15
3145.8,0.5,0.25
3145.8,0.5,0.25
3164.44,0.49,0.24
3168.36,0.49,0.27
3348.16,0.54,0.25
3349.32,0.5,0.24
3780.96,0.57,0.26
3783.12,0.64,0.23
4035.08,0.5,0.2
4035.68,0.49,0.21
4055.6,0.35,0.24
4056.76,0.37,0.23
4329.08,0.52,0.1
4329.08,0.52,0.1
4329.28,0.52,0.08
4330.72,0.54,0.07
4333.04,0.6,0.11
4364.48,0.23,0.36
4364.96,0.22,0.35
4537.88,0.48,0.33
4537.88,0.48,0.33
4538.08,0.48,0.32
5564.4,0.51,0.09
5627.0,0.41,0.15
5629.16,0.42,0.04
5707.8,0.39,0.35
5708.6,0.41,0.33
