time,x,y
15.12,0.27,0.78
15.12,0.27,0.78
19.92,0.36,0.67
19.92,0.36,0.67
19.92,0.36,0.67
205.96,0.24,0.82
205.96,0.24,0.82
226.52,0.18,0.53
226.52,0.18,0.53
432.04,0.76,0.65
601.72,0.33,0.13
601.72,0.33,0.13
645.36,0.35,0.8
646.48,0.35,0.79
760.72,0.5,0.8
760.72,0.5,0.8
963.92,0.15,0.54
963.92,0.15,0.54
1143.44,0.17,0.82
1143.44,0.17,0.82
1162.52,0.13,0.71
1162.52,0.13,0.71
1702.68,0.36,0.82
1703.64,0.36,0.81
1729.56,0.45,0.95
1730.8,0.45,0.95
1791.16,0.38,0.7
1792.92,0.38,0.78
1833.4,0.37,0.87
2063.24,0.33,0.95
2065.2,0.31,0.86
2203.16,0.59,0.8
2203.16,0.59,0.8
2226.16,0.42,0.87
2226.8,0.42,0.89
2380.44,0.12,0.82
2380.44,0.12,0.82
2632.6,0.49,0.79
2633.32,0.48,0.81
2711.04,0.45,0.47
2711.04,0.45,0.47
2718.8,0.27,0.1
2720.04,0.24,0.15
2753.68,0.26,0.84
2755.2,0.28,0.94
2902.8,0.79,0.17
2904.08,0.74,0.18
2955.76,0.86,0.28
2955.76,0.86,0.28
3198.04,0.84,0.29
3200.0,0.84,0.25
3229.72,0.48,0.21
3230.84,0.51,0.24
3253.08,0.54,0.44
3253.08,0.54,0.44
3299.08,0.11,0.67
3299.08,0.11,0.67
3391.68,0.78,0.23
3391.96,0.78,0.23
3439.2,0.66,0.08
3439.2,0.66,0.08
3590.32,0.31,0.17
3592.08,0.25,0.16
3800.24,0.98,0.23
3800.24,0.98,0.23
3841.8,0.96,0.23
3844.24,0.94,0.1
3931.92,0.69,0.67
4045.12,0.8,0.55
4045.12,0.8,0.55
4170.08,0.79,0.66
4170.08,0.79,0.66
4170.08,0.79,0.66
4217.84,0.68,0.36
4219.08,0.7,0.33
4234.76,0.84,0.31
4234.76,0.84,0.31
4291.96,0.7,0.42
4301.0,0.75,0.28
4303.4,0.71,0.24
4316.68,0.55,0.18
4317.28,0.56,0.17
4321.08,0.65,0.11
4323.08,0.67,0.22
4554.32,0.81,0.39
4554.48,0.81,0.4
4605.28,0.91,0.51
4605.28,0.91,0.51
4605.48,0.91,0.51
4685.8,0.83,0.34
4689.6,0.79,0.2
4696.6,0.73,0.18
4699.2,0.71,0.22
4714.56,0.82,0.27
4719.36,0.66,0.18
4875.72,0.75,0.5
4875.96,0.77,0.5
4890.88,0.58,0.3
4891.28,0.58,0.29
4903.24,0.61,0.3
4906.24,0.56,0.23
5034.2,0.62,0.16
5035.92,0.65,0.2
5071.12,0.58,0.36
5102.2,0.85,0.34
5102.2,0.85,0.34
5102.4,0.85,0.34
5192.24,0.88,0.62
5192.4,0.88,0.62
5277.0,0.69,0.19
5277.8,0.71,0.19
5292.8,0.67,0.28
5294.6,0.64,0.27
5477.16,0.83,0.35
5478.44,0.81,0.36
5543.08,0.66,0.54
5545.88,0.66,0.4
5558.16,0.64,0.32
5559.44,0.65,0.24
5583.84,0.65,0.26
5585.16,0.66,0.26
5590.16,0.75,0.19
5591.28,0.75,0.14
5717.52,0.85,0.32
5717.72,0.85,0.32
