time,x,y
1943.68,0.2,0.29
1944.52,0.21,0.3
1948.16,0.35,0.44
1949.2,0.37,0.52
1950.68,0.39,0.65
2058.92,0.51,0.91
2058.92,0.51,0.91
2061.08,0.48,0.96
2061.72,0.48,0.97
2074.72,0.42,0.73
2076.28,0.45,0.81
2080.04,0.55,0.86
2081.04,0.57,0.84
2082.84,0.59,0.8
2083.6,0.59,0.79
2139.24,0.71,0.51
2140.08,0.72,0.55
2217.24,0.64,0.87
2220.92,0.65,0.88
2232.88,0.59,0.8
2234.16,0.66,0.78
2234.32,0.66,0.78
2366.84,0.4,0.24
2369.28,0.43,0.19
2369.28,0.43,0.19
2391.8,0.4,0.23
2392.84,0.41,0.25
2395.24,0.45,0.24
2395.24,0.45,0.24
2396.92,0.47,0.25
2396.92,0.47,0.25
2574.12,0.29,0.26
2576.08,0.28,0.31
2604.2,0.22,0.29
2605.2,0.23,0.32
2648.36,0.43,0.8
2648.36,0.43,0.8
2721.64,0.36,0.51
2725.52,0.41,0.6
2750.08,0.34,0.54
2751.4,0.33,0.6
2762.84,0.51,0.76
2762.84,0.51,0.76
3015.2,0.71,0.42
3015.2,0.71,0.42
3022.28,0.58,0.19
3023.92,0.58,0.25
3037.96,0.41,0.58
3037.96,0.41,0.58
3081.92,0.06,0.41
3081.92,0.06,0.41
3081.92,0.06,0.41
3129.52,0.53,0.27
3130.6,0.49,0.27
3132.84,0.49,0.35
3132.84,0.49,0.35
3203.28,0.76,0.19
3203.4,0.76,0.19
3206.64,0.64,0.22
3381.16,0.61,0.8
3381.68,0.61,0.79
3552.8,0.56,0.41
3552.8,0.56,0.41
3575.08,0.45,0.23
3579.44,0.26,0.25
3748.64,0.44,0.6
3748.64,0.44,0.6
3943.04,0.44,0.54
3944.6,0.4,0.43
4061.2,0.7,0.3
4110.12,0.63,0.61
4111.72,0.62,0.55
4160.12,0.26,0.87
4161.56,0.27,0.89
4195.24,0.59,0.38
4196.24,0.59,0.36
4233.6,0.73,0.29
4233.6,0.73,0.29
4233.6,0.73,0.29
4238.72,0.67,0.24
4239.48,0.67,0.25
4532.56,0.61,0.75
4532.8,0.61,0.75
4641.24,0.47,0.81
4642.48,0.46,0.82
4665.52,0.74,0.54
4665.92,0.74,0.54
4676.0,0.56,0.8
4676.6,0.56,0.82
4678.32,0.55,0.89
4679.8,0.57,0.89
4721.04,0.54,0.6
4721.32,0.53,0.6
4724.36,0.45,0.74
4724.96,0.44,0.75
4731.6,0.29,0.68
4732.88,0.29,0.68
4745.12,0.47,0.89
4745.12,0.47,0.89
4745.36,0.48,0.89
4748.24,0.49,0.85
4748.84,0.49,0.83
4892.08,0.54,0.47
4892.32,0.54,0.47
4899.76,0.54,0.8
4901.56,0.54,0.76
4937.08,0.43,0.92
4937.4,0.43,0.93
4965.88,0.43,0.47
4965.96,0.43,0.47
5036.72,0.57,0.36
5037.6,0.59,0.31
5037.6,0.59,0.31
5081.48,0.6,0.78
5082.48,0.62,0.77
5116.44,0.81,0.6
5116.76,0.82,0.61
5221.2,0.65,0.5
5222.6,0.59,0.5
5232.32,0.29,0.55
5233.56,0.28,0.54
5295.72,0.53,0.6
5296.92,0.53,0.58
5299.0,0.46,0.55
5304.28,0.25,0.31
5460.76,0.76,0.62
5460.88,0.76,0.62
5549.16,0.57,0.31
5550.44,0.56,0.35
5561.76,0.57,0.23
5563.56,0.59,0.18
5582.84,0.52,0.21
5731.88,0.71,0.28
5734.44,0.6,0.33
