time,x,y
0.04,0.45,0.39
2.44,0.45,0.31
3.08,0.45,0.32
31.36,0.51,0.33
31.36,0.51,0.33
147.0,0.49,0.5
178.08,0.56,0.82
179.56,0.54,0.87
203.24,0.57,0.89
203.24,0.57,0.89
209.12,0.36,0.83
209.12,0.36,0.83
209.12,0.36,0.83
300.76,0.26,0.29
300.76,0.26,0.29
305.28,0.3,0.24
307.92,0.24,0.22
307.92,0.24,0.22
355.68,0.72,0.1
357.48,0.71,0.11
373.48,0.24,0.3
373.48,0.24,0.3
472.48,0.5,0.52
473.24,0.5,0.55
591.72,0.83,0.31
591.72,0.83,0.31
692.64,0.94,0.51
692.64,0.94,0.51
764.64,0.69,0.49
768.56,0.54,0.3
771.76,0.48,0.18
773.92,0.48,0.23
813.0,0.36,0.02
813.8,0.32,0.03
857.48,0.32,0.47
857.48,0.32,0.47
860.6,0.39,0.46
860.6,0.39,0.46
911.8,0.6,0.72
911.8,0.6,0.72
949.92,0.22,0.4
949.92,0.22,0.4
956.36,0.31,0.52
956.36,0.31,0.52
968.72,0.34,0.65
968.72,0.34,0.65
971.48,0.35,0.66
972.32,0.33,0.66
1106.92,0.31,0.72
1108.44,0.28,0.72
1155.4,0.29,0.77
1156.68,0.28,0.79
1176.8,0.28,0.35
1178.72,0.26,0.39
1219.32,0.61,0.34
1220.12,0.61,0.37
1232.28,0.76,0.66
1232.28,0.76,0.66
1232.28,0.76,0.66
1355.2,0.57,0.8
1355.2,0.57,0.8
1414.4,0.43,0.3
1417.56,0.43,0.4
1487.76,0.44,0.13
1488.6,0.43,0.11
1531.52,0.6,0.38
1532.68,0.61,0.37
1532.68,0.61,0.37
1929.56,0.46,0.06
1929.56,0.46,0.06
1937.56,0.34,0.05
1939.12,0.35,0.13
1948.84,0.35,0.49
2049.04,0.55,0.89
2049.04,0.55,0.89
2069.28,0.39,0.31
2070.28,0.37,0.31
2070.28,0.37,0.31
2176.44,0.68,0.75
2179.04,0.64,0.69
2508.44,0.86,0.49
2508.44,0.86,0.49
2550.84,0.42,0.14
2554.56,0.24,0.17
2562.44,0.27,0.1
2562.44,0.27,0.1
2600.04,0.15,0.3
2707.0,0.89,0.5
2707.0,0.89,0.5
2730.32,0.52,0.42
2731.52,0.51,0.43
2775.88,0.82,0.67
2779.8,0.68,0.66
2999.16,0.56,0.87
2999.16,0.56,0.87
3001.68,0.52,0.89
3004.04,0.54,0.82
3010.48,0.76,0.57
3010.48,0.76,0.57
3105.04,0.41,0.75
3105.04,0.41,0.75
3203.6,0.75,0.17
3329.32,0.61,0.82
3330.48,0.64,0.82
3332.24,0.65,0.82
3355.28,0.67,0.64
3356.04,0.67,0.64
3362.0,0.76,0.77
3496.44,0.96,0.97
3668.2,0.5,0.51
3705.92,0.49,0.81
3705.92,0.49,0.81
3707.44,0.51,0.9
3708.12,0.52,0.94
3758.04,0.36,0.8
3765.2,0.6,0.86
3768.6,0.64,0.97
3774.0,0.63,0.94
3856.6,0.6,0.25
3857.32,0.6,0.27
3857.32,0.6,0.27
3889.36,0.61,0.27
4026.12,0.5,0.51
4241.44,0.67,0.41
4334.44,0.54,0.2
4339.52,0.73,0.33
4363.32,0.19,0.45
4363.32,0.19,0.45
4363.4,0.19,0.45
4368.88,0.25,0.44
4371.36,0.32,0.48
4376.2,0.43,0.61
4380.08,0.53,0.59
4391.88,0.72,0.47
4392.52,0.73,0.48
4392.52,0.73,0.48
4400.4,0.5,0.65
4585.6,0.93,0.93
4596.92,0.69,0.93
4598.04,0.66,0.91
4610.92,0.74,0.43
4612.24,0.74,0.38
