time,x,y
190.04,0.39,0.78
190.04,0.39,0.78
423.96,0.74,0.64
424.52,0.75,0.65
814.48,0.28,0.14
814.48,0.28,0.14
1019.04,0.42,0.37
1113.56,0.29,0.79
1113.56,0.29,0.79
1238.52,0.59,0.62
1239.6,0.61,0.61
1247.6,0.75,0.37
1247.6,0.75,0.37
1492.32,0.26,0.24
1535.52,0.54,0.38
1536.76,0.54,0.41
1700.96,0.47,0.94
1701.56,0.47,0.94
1704.92,0.42,0.96
1706.4,0.41,0.96
1724.52,0.65,1.01
1726.04,0.65,1.0
1726.84,0.63,0.98
1728.56,0.56,0.91
1770.8,0.48,0.95
1793.68,0.4,0.96
1794.32,0.39,0.96
1804.56,0.39,1.01
1806.16,0.38,0.99
1807.04,0.38,0.96
1807.04,0.38,0.96
1859.4,0.74,1.01
1952.28,0.47,0.86
1957.44,0.77,0.74
2024.68,0.39,0.95
2043.28,0.41,1.01
2058.44,0.54,1.01
2060.0,0.53,1.0
2060.56,0.53,1.0
2078.28,0.59,0.98
2079.16,0.61,0.97
2144.16,0.97,0.77
2144.16,0.97,0.77
2171.52,0.77,1.01
2172.84,0.76,1.0
2174.92,0.71,0.93
2174.92,0.71,0.93
2204.32,0.71,0.95
2205.92,0.75,0.95
2227.8,0.49,0.99
2229.76,0.55,0.99
2306.72,0.81,0.73
2306.72,0.81,0.73
2445.28,0.21,0.89
2447.12,0.19,0.97
2452.96,0.42,0.97
2456.8,0.61,0.78
2635.12,0.58,0.92
2637.44,0.58,0.91
2668.08,0.47,1.01
2704.84,0.93,0.79
2705.8,0.98,0.8
2820.48,0.15,0.88
2823.12,0.17,0.91
2936.36,0.87,0.08
2936.36,0.87,0.08
3020.28,0.65,0.11
3021.48,0.62,0.06
3045.2,0.39,0.11
3047.36,0.32,0.08
3051.0,0.14,0.08
3051.68,0.1,0.1
3125.88,0.65,0.13
3128.32,0.54,0.1
3195.76,0.69,0.16
3195.76,0.69,0.16
3201.16,0.77,0.06
3202.8,0.78,0.06
3219.64,0.36,0.28
3221.72,0.35,0.27
3226.92,0.29,0.12
3228.12,0.3,0.12
3254.68,0.48,0.18
3256.96,0.47,0.17
3389.08,0.71,0.09
3389.96,0.71,0.08
3394.28,0.69,0.05
3396.96,0.62,0.03
3396.96,0.62,0.03
3435.28,0.53,0.01
3437.16,0.53,0.03
3438.0,0.54,0.04
3572.8,0.45,0.05
3573.96,0.43,0.06
3580.84,0.2,0.04
3584.88,0.12,0.04
3589.04,0.17,0.08
3589.04,0.17,0.08
4128.4,0.34,0.11
4128.4,0.34,0.11
4187.68,0.47,0.04
4188.4,0.47,0.04
4220.36,0.68,0.1
4221.52,0.7,0.08
4224.8,0.56,0.08
4236.52,0.72,0.13
4237.72,0.69,0.12
4313.16,0.37,0.14
4313.28,0.36,0.15
4318.48,0.44,0.05
4318.76,0.45,0.06
4647.76,0.47,0.21
4648.24,0.45,0.19
4650.96,0.41,0.11
4651.56,0.41,0.1
4694.96,0.61,0.05
4695.4,0.61,0.05
4888.6,0.51,0.22
4889.6,0.51,0.21
5252.76,0.45,0.15
5255.96,0.39,0.13
5257.96,0.37,0.14
5258.64,0.37,0.15
5268.16,0.48,0.19
5272.0,0.43,0.1
5274.92,0.48,0.07
5276.2,0.51,0.06
5289.4,0.59,0.14
5291.72,0.58,0.12
5422.64,0.88,0.35
5423.4,0.87,0.3
5473.04,0.74,0.24
5476.24,0.73,0.22
5560.44,0.57,0.06
5561.16,0.58,0.05
5592.16,0.66,0.03
5592.96,0.66,0.03
5619.84,0.84,0.19
5624.76,0.72,0.11
