time,x,y
19.88,0.38,0.67
218.84,0.45,0.5
220.28,0.38,0.47
221.96,0.29,0.49
225.12,0.15,0.56
225.12,0.15,0.56
271.16,0.53,0.04
271.16,0.53,0.04
288.12,0.13,0.01
288.12,0.13,0.01
291.6,0.18,0.04
293.36,0.24,0.02
302.24,0.29,0.07
304.12,0.29,0.07
354.72,0.77,-0.01
370.2,0.22,0.06
372.24,0.18,0.11
476.72,0.32,0.1
479.48,0.22,0.12
595.6,0.83,0.13
595.6,0.83,0.13
770.08,0.45,0.02
770.76,0.45,0.03
944.52,0.3,0.02
947.32,0.26,0.09
959.08,0.29,0.31
961.04,0.27,0.42
977.32,0.12,0.17
977.32,0.12,0.17
977.92,0.1,0.16
1093.2,0.46,0.17
1172.04,0.32,0.11
1173.48,0.28,0.06
1180.68,0.12,0.07
1180.68,0.12,0.07
1408.96,0.32,0.03
1412.52,0.3,0.06
1486.2,0.38,0.0
1487.28,0.38,0.0
1774.16,0.81,0.45
1774.16,0.81,0.45
1777.04,0.82,0.39
1777.04,0.82,0.39
1777.04,0.82,0.39
1894.8,0.4,0.04
1897.36,0.32,0.07
1907.8,0.23,0.15
1910.2,0.31,0.1
1931.08,0.35,0.03
1931.36,0.33,0.03
1936.16,0.24,0.0
2145.32,0.95,0.51
2148.96,0.94,0.58
2148.96,0.94,0.58
2365.76,0.43,0.11
2435.28,0.44,0.0
2435.28,0.44,0.0
2535.24,0.51,0.48
2536.28,0.51,0.47
2538.76,0.53,0.35
2539.08,0.54,0.33
2586.52,0.64,0.88
2591.72,0.54,0.62
2789.16,0.42,0.98
2795.92,0.08,0.82
2892.28,0.49,0.33
2892.6,0.5,0.32
2929.36,0.61,0.45
2932.48,0.68,0.37
2986.96,0.51,0.34
2986.96,0.51,0.34
2990.96,0.46,0.5
2994.12,0.46,0.54
3338.2,0.64,0.32
3339.4,0.66,0.27
3396.8,0.62,0.04
3396.8,0.62,0.04
3396.8,0.62,0.04
3793.56,0.81,0.04
3795.6,0.81,0.06
4233.68,0.74,0.3
4372.96,0.43,0.74
4373.48,0.44,0.78
4601.84,0.81,0.7
4605.08,0.86,0.85
4656.48,0.32,0.53
4658.6,0.38,0.6
4871.96,0.44,0.7
4872.08,0.44,0.7
5188.2,0.73,0.79
5188.88,0.74,0.78
5725.48,0.61,0.53
5729.16,0.68,0.3
