time,x,y
0.12,0.55,0.43
0.12,0.55,0.43
3.84,0.49,0.47
7.64,0.4,0.73
148.12,0.58,0.52
151.2,0.57,0.53
274.52,0.53,0.29
274.52,0.53,0.29
274.52,0.53,0.29
290.64,0.2,0.11
290.64,0.2,0.11
308.96,0.19,0.27
310.12,0.2,0.3
432.04,0.76,0.65
505.44,0.01,0.95
589.64,0.93,0.39
590.88,0.91,0.35
594.8,0.8,0.12
594.8,0.8,0.12
808.64,0.44,0.25
811.72,0.41,0.15
843.44,0.44,0.21
845.12,0.47,0.23
852.72,0.42,0.2
854.48,0.42,0.24
909.84,0.55,0.6
909.84,0.55,0.6
913.4,0.6,0.57
919.84,0.59,0.39
923.4,0.48,0.32
925.84,0.44,0.42
932.8,0.38,0.75
932.8,0.38,0.75
948.8,0.31,0.33
949.16,0.31,0.34
950.64,0.28,0.34
952.48,0.29,0.33
953.84,0.3,0.38
969.56,0.35,0.5
970.64,0.34,0.53
1096.48,0.45,0.53
1096.48,0.45,0.53
1102.28,0.36,0.82
1103.12,0.34,0.82
1104.96,0.28,0.83
1106.28,0.27,0.8
1136.28,0.63,0.97
1141.08,0.42,0.96
1151.52,0.19,1.01
1159.28,0.17,0.98
1160.64,0.16,0.96
1233.24,0.77,0.63
1234.68,0.75,0.62
1383.6,0.09,0.85
1384.76,0.07,0.82
1531.0,0.58,0.43
1531.0,0.58,0.43
1739.4,0.46,0.91
1739.4,0.46,0.91
1888.16,0.63,0.69
1888.16,0.63,0.69
1898.48,0.39,0.23
1899.84,0.39,0.22
1940.72,0.17,0.25
1942.2,0.13,0.23
2175.24,0.69,0.92
2175.24,0.69,0.92
2175.24,0.69,0.92
2439.76,0.5,0.48
2440.76,0.49,0.53
2569.4,0.49,0.25
2571.76,0.47,0.14
2702.08,0.91,0.5
2702.08,0.91,0.5
2729.2,0.5,0.57
2729.2,0.5,0.57
2732.04,0.46,0.41
2736.24,0.45,0.29
2786.44,0.6,0.69
2787.48,0.58,0.72
2914.52,0.34,0.33
2915.8,0.34,0.38
2926.6,0.6,0.75
2928.16,0.6,0.69
2951.8,0.69,0.08
2954.52,0.73,0.19
2975.8,0.51,0.29
2981.2,0.61,0.12
3143.76,0.52,0.39
3168.96,0.53,0.37
3168.96,0.53,0.37
3322.8,0.3,0.76
3326.96,0.44,0.79
3333.12,0.58,0.77
3337.0,0.65,0.54
3344.0,0.66,0.23
3347.36,0.64,0.25
3444.4,0.53,0.24
3448.64,0.59,0.44
3454.16,0.63,0.61
3459.52,0.68,0.3
3465.92,0.71,0.25
3468.12,0.69,0.32
3669.24,0.42,0.48
3672.6,0.46,0.56
3774.92,0.61,0.73
3775.64,0.61,0.71
3790.8,0.7,0.16
3792.44,0.7,0.16
3806.04,0.45,0.01
3806.6,0.41,0.01
3812.04,0.3,0.07
3816.84,0.33,0.16
3832.16,0.41,0.39
3834.24,0.45,0.33
4027.0,0.42,0.47
4031.92,0.57,0.27
4100.92,0.7,0.27
4119.0,0.15,0.3
4119.8,0.14,0.3
4122.12,0.16,0.34
4123.2,0.16,0.33
4130.44,0.27,0.09
4366.68,0.24,0.26
4367.76,0.24,0.25
4381.4,0.5,0.34
4383.6,0.56,0.28
4539.76,0.51,0.41
4539.92,0.51,0.41
4550.04,0.51,0.28
4552.64,0.57,0.33
4592.76,0.6,0.52
4594.32,0.58,0.53
4793.68,0.27,0.73
4794.4,0.28,0.76
4797.4,0.37,0.79
4800.08,0.42,0.64
5027.64,0.37,0.1
5031.68,0.47,0.05
5031.68,0.47,0.05
5096.92,0.71,0.19
5100.32,0.73,0.22
5170.88,0.39,0.82
5175.08,0.48,0.87
5184.32,0.5,0.82
5184.72,0.51,0.83
5197.92,0.61,0.73
5198.92,0.63,0.71
5209.32,0.75,0.44
5210.6,0.75,0.47
5330.56,0.35,0.43
5332.68,0.39,0.37
5337.12,0.49,0.21
5339.8,0.53,0.27
5353.0,0.69,0.22
5355.68,0.71,0.24
5403.68,0.37,0.74
5449.2,0.28,0.75
5453.52,0.53,0.83
5456.52,0.66,0.94
5460.32,0.73,0.81
5594.96,0.57,0.25
5595.92,0.57,0.25
5645.6,0.61,0.43
5702.16,0.44,0.77
5704.6,0.42,0.72
