time,x,y
50.64,0.56,0.34
54.8,0.86,0.26
227.4,0.24,0.4
230.44,0.39,0.29
307.96,0.22,0.17
349.36,0.64,0.23
350.12,0.65,0.21
385.12,0.96,0.37
385.12,0.96,0.37
428.32,0.83,0.51
428.32,0.83,0.51
428.32,0.83,0.51
586.64,0.92,0.21
589.2,0.97,0.28
656.96,0.69,0.03
658.6,0.77,0.07
730.8,0.94,0.55
730.8,0.94,0.55
782.84,0.22,0.25
782.84,0.22,0.25
807.32,0.5,0.1
858.84,0.34,0.21
858.84,0.34,0.21
952.48,0.29,0.33
978.0,0.09,0.16
979.44,0.07,0.11
982.04,0.16,0.03
1064.32,0.95,0.53
1064.32,0.95,0.53
1119.64,0.63,0.3
1123.16,0.83,0.25
1453.4,0.57,0.26
1454.8,0.56,0.24
1456.4,0.59,0.12
1456.4,0.59,0.12
1493.64,0.19,0.2
1942.4,0.18,0.16
1943.08,0.19,0.18
2133.88,0.8,0.03
2138.44,0.81,0.32
2145.36,0.95,0.5
2145.36,0.95,0.5
2147.8,0.94,0.52
2147.8,0.94,0.52
2147.8,0.94,0.52
2181.68,0.53,0.41
2184.16,0.53,0.35
2184.16,0.53,0.35
2185.88,0.57,0.26
2185.88,0.57,0.26
2194.68,0.77,0.1
2195.92,0.78,0.09
2262.88,0.94,0.04
2265.96,0.86,0.06
2270.28,0.81,0.3
2270.28,0.81,0.3
2365.68,0.45,0.13
2365.68,0.45,0.13
2365.68,0.45,0.13
2370.64,0.5,0.02
2370.64,0.5,0.02
2403.0,0.89,0.04
2403.24,0.9,0.03
2459.6,0.71,0.1
2460.68,0.72,0.05
2461.2,0.73,0.05
2541.12,0.61,0.28
2541.68,0.64,0.31
2557.52,0.14,0.14
2557.52,0.14,0.14
2559.92,0.14,0.11
2601.24,0.23,0.17
2601.24,0.23,0.17
2606.72,0.28,0.23
2608.04,0.32,0.23
2697.12,0.92,0.13
2698.36,0.97,0.18
2770.4,0.91,0.19
2770.4,0.91,0.19
3031.4,0.37,0.98
3034.36,0.36,0.92
3103.24,0.47,0.88
3103.24,0.47,0.88
3237.68,0.36,0.77
3238.88,0.33,0.8
3246.64,0.15,0.92
3247.76,0.16,0.93
3301.04,0.06,0.63
3362.12,0.76,0.79
3362.12,0.76,0.79
3362.12,0.76,0.79
3680.8,0.27,0.8
3682.88,0.13,0.8
3682.88,0.13,0.8
3937.28,0.41,0.98
3937.72,0.42,0.98
3954.4,0.1,0.67
3957.24,0.17,0.69
4152.24,0.36,0.84
4156.72,0.18,0.73
4205.52,0.4,0.98
4206.0,0.4,0.97
4208.68,0.39,0.98
4209.12,0.38,0.98
4294.8,0.53,0.91
4296.0,0.55,0.89
4361.4,0.17,0.39
4362.32,0.16,0.39
4396.16,0.65,0.76
4400.04,0.51,0.66
4400.04,0.51,0.66
4639.04,0.38,0.82
4639.04,0.38,0.82
4640.64,0.41,0.92
4673.96,0.5,0.93
4675.0,0.5,0.93
4677.2,0.48,0.96
4677.8,0.48,0.96
4707.12,0.62,0.97
4707.44,0.63,0.97
4725.96,0.25,0.95
4728.92,0.15,0.82
4738.16,0.28,0.95
4740.36,0.34,0.92
4934.64,0.3,0.99
4936.36,0.3,1.0
5077.68,0.51,0.96
5080.28,0.54,0.79
5120.36,0.66,0.94
5122.32,0.54,0.91
5223.8,0.5,0.66
5225.72,0.41,0.69
5237.16,0.16,0.89
5242.68,0.1,0.95
5395.44,0.42,0.79
5395.48,0.42,0.79
5695.76,0.47,0.92
