time,x,y
297.08,0.25,0.21
298.6,0.23,0.26
368.6,0.06,0.0
776.48,0.34,0.34
776.48,0.34,0.34
846.48,0.35,0.22
851.76,0.38,0.25
975.32,0.18,0.12
975.72,0.19,0.11
982.24,0.18,0.05
982.24,0.18,0.05
1104.04,0.23,0.78
1104.36,0.24,0.78
2180.24,0.52,0.55
2180.24,0.52,0.55
2181.84,0.53,0.43
2184.12,0.54,0.34
2184.12,0.54,0.34
2710.04,0.53,0.46
2895.36,0.67,0.2
2896.6,0.66,0.21
2897.72,0.67,0.22
2898.6,0.67,0.19
3009.28,0.86,0.68
3327.56,0.55,0.69
3328.6,0.57,0.69
3818.56,0.45,0.39
3818.56,0.45,0.39
3838.88,0.9,0.38
4060.88,0.71,0.31
4061.36,0.71,0.3
4061.36,0.71,0.3
4162.88,0.33,0.58
4163.44,0.36,0.58
4169.88,0.77,0.67
4607.2,0.86,0.25
4610.32,0.81,0.2
4990.04,0.85,0.42
4990.2,0.85,0.41
5208.08,0.84,0.43
5208.32,0.84,0.42
5413.16,0.76,0.95
5416.96,0.87,0.96
5454.2,0.56,0.98
5455.24,0.57,0.98
