time,x,y
12.12,0.49,0.98
13.84,0.51,0.97
40.4,0.48,0.86
44.4,0.42,0.79
156.28,0.69,0.87
157.2,0.71,0.86
187.16,0.62,0.92
188.36,0.6,0.95
215.4,0.59,0.89
215.4,0.59,0.89
464.76,0.7,0.79
466.96,0.65,0.83
548.04,0.57,0.86
548.04,0.57,0.86
608.88,0.54,0.84
608.88,0.54,0.84
608.88,0.54,0.84
730.08,0.89,0.47
744.24,0.84,0.92
749.0,0.67,0.86
752.56,0.71,0.91
755.12,0.74,0.96
826.64,0.49,0.9
826.64,0.49,0.9
865.32,0.48,0.78
868.64,0.46,0.77
929.56,0.46,0.92
932.2,0.41,0.88
1263.88,0.89,0.88
1268.36,0.69,0.88
1272.8,0.77,0.87
1276.04,0.72,0.98
1276.04,0.72,0.98
1293.52,0.71,0.96
1312.36,0.51,0.94
1314.16,0.49,0.9
1368.2,0.67,0.95
1369.32,0.66,0.91
1401.64,0.53,0.45
1403.32,0.5,0.44
1420.12,0.43,0.8
1420.12,0.43,0.8
1476.28,0.59,0.94
1478.24,0.58,0.89
1733.0,0.73,0.83
1733.0,0.73,0.83
1836.2,0.75,0.86
1902.92,0.46,0.75
1905.08,0.43,0.73
1916.76,0.49,0.8
1919.16,0.48,0.74
1919.8,0.5,0.72
2148.32,0.99,0.55
2148.32,0.99,0.55
2214.16,0.9,0.9
2214.16,0.9,0.9
2234.16,0.68,0.8
2302.88,0.96,0.6
2436.64,0.54,0.1
2436.64,0.54,0.1
2460.96,0.72,0.09
2531.48,0.75,0.05
2533.32,0.74,0.06
2555.88,0.13,0.05
2557.24,0.14,0.12
2557.24,0.14,0.12
2559.76,0.15,0.1
2559.76,0.15,0.1
2593.92,0.47,0.13
2598.84,0.32,0.16
2770.76,0.93,0.33
2770.76,0.93,0.33
2922.72,0.64,1.01
2925.4,0.65,0.96
2999.92,0.57,1.0
3000.88,0.56,0.97
3300.88,0.07,0.63
3358.04,0.85,0.95
3358.04,0.85,0.95
3450.64,0.67,0.93
3452.24,0.69,0.95
3471.04,0.83,0.95
3472.32,0.84,0.96
3674.28,0.51,0.95
3675.4,0.48,0.93
3709.96,0.49,0.94
3709.96,0.49,0.94
3766.4,0.53,0.94
3767.08,0.53,0.94
3824.68,0.23,1.0
3824.68,0.23,1.0
4158.28,0.12,0.74
4158.28,0.12,0.74
4374.68,0.39,0.84
4375.08,0.39,0.83
4394.32,0.69,0.66
4558.12,0.66,0.89
4558.28,0.66,0.88
4637.12,0.35,0.73
4639.88,0.39,0.87
4639.88,0.39,0.87
4795.4,0.37,1.0
4796.08,0.37,0.98
4924.88,0.33,0.89
4925.44,0.35,0.88
4928.52,0.36,0.99
4928.52,0.36,0.99
4928.64,0.36,0.99
4970.36,0.27,0.78
4972.96,0.23,0.75
5101.0,0.82,0.28
5102.8,0.85,0.35
5102.8,0.85,0.35
5113.32,0.74,0.49
5113.56,0.74,0.5
5176.2,0.52,1.0
5176.48,0.52,1.0
5185.2,0.52,1.0
5187.12,0.57,0.98
5194.48,0.6,0.88
5194.76,0.59,0.87
5211.4,0.76,0.78
5213.2,0.84,0.79
5309.12,0.07,0.58
5309.12,0.07,0.58
5309.28,0.07,0.58
5358.16,0.83,0.8
5360.48,0.78,0.85
5396.6,0.38,0.85
5417.76,0.79,0.87
5419.76,0.81,0.79
5701.04,0.49,1.01
