time,x,y
339.28,0.04,0.52
339.28,0.04,0.52
541.72,0.04,0.44
541.72,0.04,0.44
604.36,0.16,0.43
606.08,0.16,0.52
779.28,0.03,0.47
779.28,0.03,0.47
903.12,0.04,0.51
903.12,0.04,0.51
1214.72,0.16,0.18
1345.8,0.04,0.5
1345.8,0.04,0.5
1388.44,0.07,0.47
1392.84,0.09,0.47
1448.48,0.01,0.5
1448.48,0.01,0.5
1525.68,0.12,0.14
2377.08,0.04,0.47
2378.52,0.06,0.55
2818.4,0.04,0.47
2818.4,0.04,0.47
3011.28,0.98,0.49
3013.72,0.95,0.48
3110.32,0.93,0.69
3117.08,0.9,0.6
3375.96,0.85,0.65
3715.08,0.96,0.57
3715.08,0.96,0.57
3742.68,0.87,0.81
3922.76,0.96,0.47
3922.76,0.96,0.47
4102.48,0.98,0.5
4108.6,0.88,0.49
4172.2,0.98,0.66
4178.6,0.95,0.69
4345.12,0.99,0.45
4348.4,0.98,0.43
4616.0,1.0,0.62
4632.56,0.86,0.52
4814.8,0.99,0.58
4868.16,0.97,0.46
4877.96,0.94,0.46
4878.12,0.94,0.46
4943.92,0.88,0.6
4947.72,0.86,0.56
4991.48,0.99,0.48
5022.32,0.98,0.47
5214.44,0.97,0.47
5216.12,0.91,0.4
5366.32,1.01,0.59
5393.12,0.96,0.52
5479.44,0.95,0.53
5484.24,0.95,0.47
5605.4,0.98,0.52
5619.12,0.96,0.52
5662.08,0.99,0.42
5690.36,0.97,0.47
