time,x,y
45.36,0.32,0.89
45.36,0.32,0.89
421.08,0.78,0.36
422.04,0.79,0.36
545.0,0.5,0.86
545.0,0.5,0.86
608.96,0.53,0.84
613.44,0.52,0.94
614.52,0.56,0.96
617.2,0.7,0.88
617.2,0.7,0.88
1108.96,0.22,0.84
1108.96,0.22,0.84
1111.88,0.23,0.9
1111.88,0.23,0.9
1114.8,0.38,0.92
1117.68,0.54,0.73
1227.44,0.69,0.94
1228.32,0.69,0.93
1776.0,0.73,0.42
1777.16,0.8,0.39
1777.16,0.8,0.39
1959.12,0.91,0.86
2151.0,0.86,0.72
2151.0,0.86,0.72
2171.88,0.8,0.91
2171.88,0.8,0.91
2230.08,0.6,0.89
2231.96,0.6,0.92
2381.8,0.34,0.81
2383.36,0.34,0.73
2537.12,0.52,0.43
2669.16,0.54,0.85
2669.16,0.54,0.85
3015.84,0.66,0.32
3018.96,0.55,0.07
3047.88,0.27,0.03
3048.68,0.28,0.07
3193.24,0.66,0.41
3194.76,0.7,0.37
3214.92,0.22,0.33
3216.08,0.21,0.39
3259.52,0.34,0.04
3259.52,0.34,0.04
3298.8,0.12,0.73
3298.8,0.12,0.73
3498.8,0.97,0.48
3498.8,0.97,0.48
3586.08,0.1,0.24
3587.64,0.08,0.18
3595.0,0.16,0.18
3595.0,0.16,0.18
3598.68,0.15,0.26
3599.12,0.15,0.26
3678.08,0.49,0.46
3679.8,0.42,0.59
3946.52,0.24,0.1
3951.28,0.06,0.27
3960.2,0.04,0.36
3960.2,0.04,0.36
4183.88,0.61,0.21
4186.48,0.54,0.2
4307.52,0.21,0.09
4307.76,0.19,0.09
4328.52,0.51,0.12
4328.72,0.51,0.11
4328.88,0.51,0.1
4349.92,0.79,0.2
4352.72,0.65,0.11
4644.72,0.42,0.56
4646.24,0.42,0.5
4691.56,0.63,0.36
4694.16,0.57,0.3
4733.68,0.31,0.54
4734.88,0.31,0.54
4749.96,0.5,0.57
4751.96,0.48,0.49
4893.28,0.47,0.42
4893.48,0.47,0.42
5103.48,0.78,0.37
5107.2,0.58,0.44
5107.2,0.58,0.44
5191.12,0.82,0.64
5191.12,0.82,0.64
5191.52,0.84,0.63
5259.16,0.37,0.35
5261.36,0.35,0.36
5266.84,0.44,0.38
5267.24,0.44,0.36
5272.88,0.43,0.28
5274.0,0.43,0.24
5297.72,0.51,0.45
5298.0,0.51,0.45
5485.84,0.7,0.62
5487.24,0.67,0.59
5554.84,0.55,0.57
5557.16,0.57,0.56
