time,x,y
281.64,0.1,0.42
281.64,0.1,0.42
281.64,0.1,0.42
298.88,0.2,0.29
298.88,0.2,0.29
362.76,0.09,0.14
363.92,0.02,0.1
429.68,0.83,0.54
429.68,0.83,0.54
627.6,0.39,0.46
627.6,0.39,0.46
627.6,0.39,0.46
636.68,0.34,0.44
647.72,0.3,0.53
648.92,0.29,0.57
730.08,0.89,0.46
730.08,0.89,0.46
730.08,0.89,0.46
781.16,0.08,0.41
781.16,0.08,0.41
1169.68,0.16,0.36
1170.56,0.19,0.31
1385.8,0.05,0.53
1385.8,0.05,0.53
1464.72,0.29,0.24
1464.72,0.29,0.24
1788.72,0.45,0.33
1789.48,0.44,0.36
2066.88,0.24,0.51
2066.88,0.24,0.51
2180.2,0.51,0.56
2223.0,0.43,0.62
2224.48,0.41,0.6
2302.76,0.96,0.62
2302.76,0.96,0.62
2302.76,0.96,0.62
2375.64,0.11,0.23
2375.64,0.11,0.23
2387.08,0.25,0.37
2388.2,0.27,0.31
2600.04,0.15,0.29
2600.04,0.15,0.29
2600.04,0.15,0.29
2639.84,0.35,0.54
2646.48,0.34,0.56
2710.08,0.53,0.47
2710.08,0.53,0.47
2710.08,0.53,0.47
3121.52,0.86,0.77
3123.08,0.87,0.74
3232.04,0.56,0.56
3234.28,0.53,0.68
3359.24,0.91,0.6
3359.24,0.91,0.6
3359.24,0.91,0.6
3384.4,0.73,0.68
3385.88,0.74,0.63
3473.68,0.94,0.68
3473.68,0.94,0.68
3712.88,0.84,0.85
3712.88,0.84,0.85
3713.28,0.86,0.84
3797.36,0.89,0.41
3797.36,0.89,0.41
3838.96,0.9,0.4
3838.96,0.9,0.4
3838.96,0.9,0.4
3927.8,0.58,0.6
4145.84,0.45,0.48
4146.92,0.46,0.51
4215.48,0.67,0.7
4216.76,0.68,0.67
4231.76,0.76,0.49
4231.76,0.76,0.49
4297.2,0.74,0.64
4299.4,0.76,0.66
4531.76,0.69,0.65
4533.88,0.73,0.64
4535.6,0.77,0.56
4586.8,0.94,0.55
4587.04,0.94,0.56
4600.48,0.91,0.55
4600.48,0.91,0.55
4600.64,0.92,0.55
4664.04,0.74,0.48
4664.04,0.74,0.48
4664.12,0.75,0.48
4683.0,0.79,0.71
4683.28,0.79,0.7
4700.32,0.79,0.47
4701.8,0.79,0.48
4711.36,0.85,0.74
4713.04,0.86,0.72
4895.0,0.62,0.61
4895.36,0.62,0.64
4939.92,0.65,0.9
4942.24,0.71,0.85
5073.04,0.69,0.49
5073.56,0.69,0.51
5115.56,0.85,0.55
5115.64,0.85,0.55
5249.16,0.54,0.81
5250.24,0.54,0.78
5279.8,0.74,0.62
5281.92,0.78,0.78
5461.76,0.82,0.68
5462.2,0.82,0.67
5466.16,0.77,0.6
5468.96,0.73,0.6
5541.8,0.6,0.73
5551.76,0.64,0.63
5553.84,0.62,0.67
5586.68,0.71,0.54
5588.96,0.71,0.47
